,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)경윤하이드로에너지,19120,2009/12,2011/04/06,1,31501,"  가죽, 가방 및 신발 제조업",4
1,(주)고제,2540,2009/12,2010/04/23,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
2,(주)골드카운티,58900,2009/12,2010/10/12,1,105802,  출판업,4
3,(주)금빛,45890,2009/12,2021/12/20,1,32804,  전기장비 제조업,4
4,(주)금오하이텍,165270,2009/12,2017/06/07,1,32202,  고무 및 플라스틱제품 제조업,4
5,(주)나노트로닉스,10670,2009/12,2014/04/11,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",4
6,(주)나리지*온,36850,2009/12,2010/07/14,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
7,(주)네오퍼플,28090,2009/12,2013/05/03,1,31007,  식료품 제조업,4
8,(주)네이쳐글로벌,88020,2009/12,2011/01/08,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
9,(주)네프로아이티,950030,2009/03,2011/11/05,1,106309,  정보서비스업,4
10,(주)넥솔론,110570,2009/12,2017/04/17,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
11,(주)넥스지,81970,2009/12,2018/10/11,1,105802,  출판업,4
12,(주)넷웨이브,47730,2009/12,2012/11/17,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
13,(주)녹십자셀,31390,2009/12,2021/11/17,1,32101,  의료용 물질 및 의약품 제조업,4
14,(주)뉴로스,126870,2009/12,2022/10/26,1,32901,  기타 기계 및 장비 제조업,4
15,(주)뉴젠아이씨티,54150,2009/12,2011/04/29,1,74605,  도매 및 상품 중개업,4
16,(주)다린,204690,2009/12,2017/08/02,1,32202,  고무 및 플라스틱제품 제조업,4
17,(주)다함이텍,9280,2009/12,2013/04/16,1,137105,  전문 서비스업,4
18,(주)다휘,55250,2009/12,2010/10/01,1,32901,  기타 기계 및 장비 제조업,4
19,(주)단성일렉트론,85990,2009/12,2010/05/08,1,32902,  기타 기계 및 장비 제조업,4
20,(주)대국,42340,2009/12,2012/04/13,1,74608,  도매 및 상품 중개업,4
21,(주)대성합동지주,5620,2009/12,2017/08/25,1,137105,  전문 서비스업,4
22,(주)대양글로벌,40180,2009/12,2011/10/25,1,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",4
23,(주)대한은박지,7480,2009/09,2013/01/28,1,32402,  1차 금속 제조업,4
24,(주)더체인지,54120,2009/12,2011/12/15,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
25,(주)데코,13650,2009/12,2010/10/19,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
26,(주)데코앤이,17680,2009/12,2019/11/20,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
27,(주)동서,26960,2009/12,2016/07/15,1,74603,  도매 및 상품 중개업,4
28,(주)동성하이켐,13450,2009/12,2015/07/20,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
29,(주)동성화학,5190,2009/12,2021/04/16,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
30,(주)동양건설산업,5900,2009/12,2014/04/25,1,64102,  종합 건설업,4
31,(주)디아이디,74130,2009/12,2015/07/23,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
32,(주)디앤샵,90090,2009/12,2011/12/15,1,74709,  소매업; 자동차 제외,4
33,(주)디에스,51710,2009/12,2013/05/01,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
34,(주)디에이치패션,45260,2009/12,2012/08/01,1,74607,  도매 및 상품 중개업,4
35,(주)디지텍시스템스,91690,2009/12,2015/01/21,1,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
36,(주)디패션,30420,2009/12,2011/05/07,1,106301,  정보서비스업,4
37,(주)레드로버,60300,2009/12,2022/11/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
38,(주)렉스엘이앤지,4790,2009/12,2014/03/04,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
39,(주)로케트전기,420,2009/12,2015/02/24,1,32802,  전기장비 제조업,4
40,(주)롯데미도파,4010,2009/12,2013/01/22,1,74701,  소매업; 자동차 제외,4
41,(주)루트로닉,85370,2009/12,2023/10/27,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
42,(주)룩손에너지홀딩스,33550,2009/12,2013/05/07,1,74605,  도매 및 상품 중개업,4
43,(주)마이스코,88700,2009/12,2013/05/04,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
44,(주)맥스로텍,141070,2009/12,2021/09/16,1,32902,  기타 기계 및 장비 제조업,4
45,(주)맥스브로,88810,2009/12,2011/04/29,1,32202,  고무 및 플라스틱제품 제조업,4
46,(주)메카포럼,35830,2009/12,2010/07/16,1,189001,"  창작, 예술 및 여가관련 서비스업",4
47,(주)멜파스,96640,2009/12,2023/07/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
48,(주)모다,149940,2009/12,2020/07/10,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
49,(주)모라리소스,18890,2009/12,2010/07/22,1,32202,  고무 및 플라스틱제품 제조업,4
50,(주)모린스,110310,2009/12,2014/04/11,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
51,(주)모보,51810,2009/12,2010/04/13,1,32803,  전기장비 제조업,4
52,(주)모젬,79560,2009/12,2010/04/13,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
53,(주)무학,33920,2009/12,2010/07/20,1,31101,  음료 제조업,4
54,(주)미래SCI,28040,2009/12,2021/04/13,1,74601,  도매 및 상품 중개업,4
55,(주)미래자원엠엘,233190,2009/12,2017/12/28,1,31008,  식료품 제조업,4
56,(주)미성포리테크,94700,2009/12,2012/04/13,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
57,(주)바이나믹,67850,2009/12,2010/05/19,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
58,(주)바이오빌,65940,2009/12,2020/07/31,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
59,(주)배명금속,11800,2009/12,2012/09/03,1,32401,  1차 금속 제조업,4
60,(주)보광티에스,66690,2009/12,2012/05/01,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
61,(주)보루네오가구,4740,2009/12,2017/07/05,1,33201,  가구 제조업,4
62,(주)보홍,41320,2009/12,2010/05/08,1,74605,  도매 및 상품 중개업,4
63,(주)봉신,5350,2009/12,2011/04/15,1,85001,  수상 운송업,4
64,(주)부산도시가스,15350,2009/12,2022/01/18,1,43502,"  전기, 가스, 증기 및 공기조절 공급업",4
65,(주)브이에스에스티,35400,2009/12,2010/10/01,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
66,(주)블루젬디앤씨,53040,2009/12,2012/05/17,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
67,(주)비앤비성원,15200,2009/12,2012/05/01,1,32401,  1차 금속 제조업,4
68,(주)비에이치,90460,2009/12,2023/06/20,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
69,(주)비엔씨컴퍼니,58370,2009/12,2017/05/08,1,74607,  도매 및 상품 중개업,4
70,(주)사이노젠,64060,2009/12,2010/04/13,1,32901,  기타 기계 및 장비 제조업,4
71,(주)사조해표,79660,2009/12,2019/06/26,1,31007,  식료품 제조업,4
72,(주)삼양엔텍,8720,2009/12,2014/12/30,1,32902,  기타 기계 및 장비 제조업,4
73,(주)삼양제넥스,3940,2009/12,2016/01/21,1,31007,  식료품 제조업,4
74,(주)삼우이엠씨,26250,2009/12,2013/04/12,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,4
75,(주)샤인시스템,66300,2009/12,2010/06/29,1,32202,  고무 및 플라스틱제품 제조업,4
76,(주)서광건설산업,1600,2009/12,2010/04/15,1,64102,  종합 건설업,4
77,(주)선우중공업,68770,2009/12,2010/06/17,1,32902,  기타 기계 및 장비 제조업,4
78,(주)선진지주,14300,2009/12,2013/01/18,1,31006,  식료품 제조업,4
79,(주)선팩테크,54010,2009/12,2011/10/06,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
80,(주)성우몰드,53440,2009/12,2010/04/21,1,33003,  자동차 및 트레일러 제조업,4
81,(주)세계투어,47600,2009/12,2011/09/09,1,147502,  사업지원 서비스업,4
82,(주)세븐코스프,17160,2009/12,2011/04/29,1,31008,  식료품 제조업,4
83,(주)세영디앤씨,52190,2009/12,2022/05/27,1,189001,"  창작, 예술 및 여가관련 서비스업",4
84,(주)세화피앤씨,85980,2009/12,2017/09/19,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
85,(주)셀런,13240,2009/12,2011/04/15,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
86,(주)셀트리온,68270,2009/12,2018/02/09,1,32101,  의료용 물질 및 의약품 제조업,4
87,(주)소리바다,53110,2009/12,2022/09/07,1,106301,  정보서비스업,4
