,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)금빛,45890,2011/12,2021/12/20,1,32804,  전기장비 제조업,4
1,(주)금오하이텍,165270,2011/12,2017/06/07,1,32202,  고무 및 플라스틱제품 제조업,4
2,(주)나노트로닉스,10670,2011/12,2014/04/11,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",4
3,(주)네오퍼플,28090,2011/12,2013/05/03,1,31007,  식료품 제조업,4
4,(주)네프로아이티,950030,2011/03,2011/11/05,1,106309,  정보서비스업,4
5,(주)넥솔론,110570,2011/12,2017/04/17,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
6,(주)넥스지,81970,2011/12,2018/10/11,1,105802,  출판업,4
7,(주)넷웨이브,47730,2011/12,2012/11/17,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
8,(주)녹십자셀,31390,2011/12,2021/11/17,1,32101,  의료용 물질 및 의약품 제조업,4
9,(주)뉴로스,126870,2011/12,2022/10/26,1,32901,  기타 기계 및 장비 제조업,4
10,(주)다린,204690,2011/12,2017/08/02,1,32202,  고무 및 플라스틱제품 제조업,4
11,(주)다함이텍,9280,2011/12,2013/04/16,1,137105,  전문 서비스업,4
12,(주)대국,42340,2011/12,2012/04/13,1,74608,  도매 및 상품 중개업,4
13,(주)대성합동지주,5620,2011/12,2017/08/25,1,137105,  전문 서비스업,4
14,(주)대한은박지,7480,2011/09,2013/01/28,1,32402,  1차 금속 제조업,4
15,(주)데코앤이,17680,2011/12,2019/11/20,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
16,(주)동서,26960,2011/12,2016/07/15,1,74603,  도매 및 상품 중개업,4
17,(주)동성하이켐,13450,2011/12,2015/07/20,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
18,(주)동성화학,5190,2011/12,2021/04/16,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
19,(주)동양건설산업,5900,2011/12,2014/04/25,1,64102,  종합 건설업,4
20,(주)디아이디,74130,2011/12,2015/07/23,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
21,(주)디에스,51710,2011/12,2013/05/01,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
22,(주)디에이치패션,45260,2011/12,2012/08/01,1,74607,  도매 및 상품 중개업,4
23,(주)디지텍시스템스,91690,2011/12,2015/01/21,1,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
24,(주)레드로버,60300,2011/12,2022/11/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
25,(주)렉스엘이앤지,4790,2011/12,2014/03/04,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
26,(주)로케트전기,420,2011/12,2015/02/24,1,32802,  전기장비 제조업,4
27,(주)롯데미도파,4010,2011/12,2013/01/22,1,74701,  소매업; 자동차 제외,4
28,(주)루트로닉,85370,2011/12,2023/10/27,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
29,(주)룩손에너지홀딩스,33550,2011/12,2013/05/07,1,74605,  도매 및 상품 중개업,4
30,(주)마이스코,88700,2011/12,2013/05/04,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
31,(주)맥스로텍,141070,2011/12,2021/09/16,1,32902,  기타 기계 및 장비 제조업,4
32,(주)멜파스,96640,2011/12,2023/07/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
33,(주)모다,149940,2011/12,2020/07/10,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
