,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)구스앤홈,329050,2019/12,2021/04/13,1,31302,  섬유제품 제조업; 의복제외,4
1,(주)금빛,45890,2019/12,2021/12/20,1,32804,  전기장비 제조업,4
2,(주)녹십자셀,31390,2019/12,2021/11/17,1,32101,  의료용 물질 및 의약품 제조업,4
3,(주)뉴로스,126870,2019/12,2022/10/26,1,32901,  기타 기계 및 장비 제조업,4
4,(주)다이오진,271850,2019/12,2023/04/12,1,137001,  연구개발업,4
5,(주)데이드림엔터테인먼트,348840,2019/12,2023/08/10,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
6,(주)동성화학,5190,2019/12,2021/04/16,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
7,(주)드림티엔터테인먼트,220110,2019/12,2020/04/10,1,137309,"  기타 전문, 과학 및 기술 서비스업",4
8,(주)라이프사이언스테크놀로지,285770,2019/12,2023/06/12,1,105802,  출판업,4
9,(주)레드로버,60300,2019/12,2022/11/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
10,(주)루트로닉,85370,2019/12,2023/10/27,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
11,(주)맘스터치앤컴퍼니,220630,2019/12,2022/05/31,1,74603,  도매 및 상품 중개업,4
12,(주)맥스로텍,141070,2019/12,2021/09/16,1,32902,  기타 기계 및 장비 제조업,4
13,(주)멜파스,96640,2019/12,2023/07/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
14,(주)모다,149940,2019/12,2020/07/10,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
15,(주)미래SCI,28040,2019/12,2021/04/13,1,74601,  도매 및 상품 중개업,4
16,(주)미래테크놀로지,213090,2019/12,2021/10/05,1,105802,  출판업,4
17,(주)미애부,225850,2019/12,2022/04/27,1,74604,  도매 및 상품 중개업,4
18,(주)바이오빌,65940,2019/12,2020/07/31,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
19,(주)바이오시네틱스,281310,2019/12,2023/06/12,1,137001,  연구개발업,4
20,(주)부산도시가스,15350,2019/12,2022/01/18,1,43502,"  전기, 가스, 증기 및 공기조절 공급업",4
21,(주)비에이치,90460,2019/12,2023/06/20,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
22,(주)비엔디생활건강,215050,2019/12,2023/04/21,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
23,(주)비엔에프코퍼레이션,271780,2019/12,2020/11/05,1,32402,  1차 금속 제조업,4
24,(주)세영디앤씨,52190,2019/12,2022/05/27,1,189001,"  창작, 예술 및 여가관련 서비스업",4
25,(주)소리바다,53110,2019/12,2022/09/07,1,106301,  정보서비스업,4
26,(주)스포츠서울,39670,2019/03,2022/04/20,1,105801,  출판업,4
27,(주)신한,5450,2019/12,2020/06/30,1,64101,  종합 건설업,4
28,(주)씨엠에스에듀,225330,2019/12,2022/03/17,1,168505,  교육 서비스업,4
29,(주)씨티네트웍스,189540,2019/12,2020/05/12,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
30,(주)아이엠텍,226350,2019/12,2021/06/11,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
31,(주)앙츠,267810,2019/12,2023/04/04,1,199501,  개인 및 소비용품 수리업,4
32,(주)에스마크,30270,2019/12,2020/05/21,1,31301,  섬유제품 제조업; 의복제외,4
33,(주)에스앤케이,950180,2019/07,2022/05/18,1,105802,  출판업,4
34,(주)에스에이티,158300,2019/12,2021/12/09,1,32902,  기타 기계 및 장비 제조업,4
35,(주)에스에프씨,112240,2019/12,2020/06/30,1,32202,  고무 및 플라스틱제품 제조업,4
36,(주)에스제이케이,80440,2019/12,2021/09/13,1,74607,  도매 및 상품 중개업,4
37,(주)에이치디,102210,2019/12,2021/04/19,1,33101,  기타 운송장비 제조업,4
38,(주)에이팸,73070,2019/12,2021/06/04,1,33003,  자동차 및 트레일러 제조업,4
39,(주)에코바이브,15540,2019/12,2023/11/07,1,147509,  사업지원 서비스업,4
40,(주)엔에스쇼핑,138250,2019/12,2022/03/22,1,74709,  소매업; 자동차 제외,4
41,(주)엘엑스세미콘,108320,2019/12,2022/11/03,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
42,(주)엘피케이로보틱스,183350,2019/12,2020/06/17,1,32902,  기타 기계 및 장비 제조업,4
43,(주)엠씨넥스,97520,2019/12,2021/07/06,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
44,(주)엠앤씨생명과학,225860,2019/12,2022/04/27,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
45,(주)엠피씨플러스,50540,2019/12,2023/05/08,1,147509,  사업지원 서비스업,4
46,(주)연이비앤티,90740,2019/12,2022/10/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
47,(주)오션스톤,329020,2019/12,2022/12/27,1,74603,  도매 및 상품 중개업,4
48,(주)원바이오젠,278380,2019/12,2021/02/09,1,32103,  의료용 물질 및 의약품 제조업,4
49,(주)원익피앤이,131390,2019/12,2022/11/29,1,32801,  전기장비 제조업,4
50,(주)이매진아시아,36260,2019/12,2021/02/15,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
51,(주)이십일스토어,270020,2019/12,2022/04/14,1,32309,  비금속 광물제품 제조업,4
52,(주)이엠네트웍스,87730,2019/12,2021/10/08,1,32002,  화학물질 및 화학제품 제조업; 의약품 제외,4
53,(주)인터코스,240340,2019/12,2022/05/17,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
54,(주)인터파크,108790,2019/12,2020/07/16,1,74709,  소매업; 자동차 제외,4
55,(주)전우정밀,120780,2019/12,2021/05/06,1,33003,  자동차 및 트레일러 제조업,4
56,(주)제낙스,65620,2019/12,2021/08/09,1,32401,  1차 금속 제조업,4
57,(주)제이웨이,58420,2019/12,2023/04/14,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
58,(주)지에스홈쇼핑,28150,2019/12,2021/07/16,1,106002,  방송업,4
59,(주)지유온,111820,2019/12,2021/09/30,1,106309,  정보서비스업,4
60,(주)카이노스메드,220250,2019/12,2020/06/08,1,137001,  연구개발업,4
61,(주)켐온,217600,2019/12,2022/12/16,1,137001,  연구개발업,4
62,(주)코너스톤네트웍스,33110,2019/12,2021/10/08,1,74701,  소매업; 자동차 제외,4
63,(주)코리아센터,290510,2019/12,2022/12/16,1,105802,  출판업,4
64,(주)코스온,69110,2019/12,2023/10/20,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
65,(주)코원플레이,56000,2019/12,2023/03/30,1,105802,  출판업,4
66,(주)티씨엠생명과학,228180,2019/12,2020/08/07,1,137001,  연구개발업,4
67,(주)티에스트릴리온,284610,2019/12,2020/12/30,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
68,(주)티티씨디펜스,309900,2019/12,2022/06/16,1,137309,"  기타 전문, 과학 및 기술 서비스업",4
69,(주)파티게임즈,194510,2019/12,2020/09/09,1,105802,  출판업,4
70,(주)팍스넷,38160,2019/12,2021/08/23,1,106309,  정보서비스업,4
71,(주)폭스소프트,354230,2019/12,2021/09/01,1,105802,  출판업,4
72,(주)폴루스바이오팜,7630,2019/12,2022/02/22,1,74601,  도매 및 상품 중개업,4
73,(주)퓨전,195440,2019/12,2021/06/10,1,105802,  출판업,4
74,(주)피앤텔,54340,2019/12,2020/05/21,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
75,(주)피엔아이컴퍼니,242350,2019/12,2023/09/18,1,106200,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",4
76,(주)한국아트라스비엑스,23890,2019/12,2021/04/19,1,32802,  전기장비 제조업,4
77,(주)한프,66110,2019/12,2022/04/06,1,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
78,(주)한화갤러리아타임월드,27390,2019/12,2020/04/16,1,74701,  소매업; 자동차 제외,4
79,(주)행남사,8800,2019/12,2021/06/07,1,31007,  식료품 제조업,4
80,(주)화진,134780,2019/12,2020/07/02,1,33003,  자동차 및 트레일러 제조업,4
81,(주)휴럼,284420,2019/12,2021/07/27,1,31007,  식료품 제조업,4
82,고려개발(주),4200,2019/12,2020/07/21,1,64102,  종합 건설업,4
83,나이스평가정보(주),30190,2019/12,2023/08/08,1,106309,  정보서비스업,4
84,넥슨지티(주),41140,2019/12,2022/04/15,1,105802,  출판업,4
85,다이노나(주),86080,2019/12,2021/11/22,1,137001,  연구개발업,4
86,두산건설(주),11160,2019/12,2020/03/24,1,64101,  종합 건설업,4
87,디에스티(주),33430,2019/12,2021/09/02,1,32902,  기타 기계 및 장비 제조업,4
88,롯데푸드(주),2270,2019/12,2022/07/20,1,31005,  식료품 제조업,4
89,명진홀딩스(주),267060,2019/12,2023/04/18,1,31002,  식료품 제조업,4
90,무송지오씨(주),135160,2019/12,2023/05/02,1,32803,  전기장비 제조업,4
91,미래오토스,176440,2019/12,2022/06/27,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
92,에스비에스미디어홀딩스(주),101060,2019/12,2022/01/18,1,106002,  방송업,4
93,에스앤씨엔진그룹리미티드,900080,2019/12,2021/06/14,1,137105,  전문 서비스업,4
94,에스에이치엔엘(주),50320,2019/12,2022/05/31,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
95,에스지에이클라우드서비스(주),224880,2019/12,2021/05/06,1,105802,  출판업,4
96,에스케이 머티리얼즈(주),36490,2019/12,2021/12/27,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
97,에스케이씨솔믹스(주),57500,2019/12,2020/12/23,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
98,에스케이오션플랜트(주),100090,2019/12,2023/04/19,1,32401,  1차 금속 제조업,4
99,에이아이비트(주),39230,2019/12,2021/10/06,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",4
100,엠에프엠코리아(주),251960,2019/12,2020/12/30,1,31403,"  의복, 의복 액세서리 및 모피제품 제조업",4
101,오스템임플란트(주),48260,2019/12,2023/08/14,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
102,웅진에너지(주),103130,2019/12,2020/06/01,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
