,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)극동자동화,272420,2014/12,2018/11/15,1,64203,  전문직별 공사업,4
1,(주)금빛,45890,2014/12,2021/12/20,1,32804,  전기장비 제조업,4
2,(주)금오하이텍,165270,2014/12,2017/06/07,1,32202,  고무 및 플라스틱제품 제조업,4
3,(주)나이코,192240,2014/12,2016/12/23,1,31709,"  펄프, 종이 및 종이제품 제조업",4
4,(주)넥솔론,110570,2014/12,2017/04/17,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
5,(주)넥스지,81970,2014/12,2018/10/11,1,105802,  출판업,4
6,(주)녹십자셀,31390,2014/12,2021/11/17,1,32101,  의료용 물질 및 의약품 제조업,4
7,(주)뉴로스,126870,2014/12,2022/10/26,1,32901,  기타 기계 및 장비 제조업,4
8,(주)다린,204690,2014/12,2017/08/02,1,32202,  고무 및 플라스틱제품 제조업,4
9,(주)대성합동지주,5620,2014/12,2017/08/25,1,137105,  전문 서비스업,4
10,(주)더블유게임즈,192080,2014/12,2019/03/12,1,105802,  출판업,4
11,(주)데코앤이,17680,2014/12,2019/11/20,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
12,(주)동서,26960,2014/12,2016/07/15,1,74603,  도매 및 상품 중개업,4
13,(주)동성하이켐,13450,2014/12,2015/07/20,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
14,(주)동성화학,5190,2014/12,2021/04/16,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
15,(주)드림티엔터테인먼트,220110,2014/12,2020/04/10,1,137309,"  기타 전문, 과학 및 기술 서비스업",4
16,(주)디아이디,74130,2014/12,2015/07/23,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
17,(주)디피앤케이,189700,2014/12,2017/08/31,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
18,(주)레드로버,60300,2014/12,2022/11/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
19,(주)루트로닉,85370,2014/12,2023/10/27,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
20,(주)맥스로텍,141070,2014/12,2021/09/16,1,32902,  기타 기계 및 장비 제조업,4
21,(주)멜파스,96640,2014/12,2023/07/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
22,(주)모다,149940,2014/12,2020/07/10,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
23,(주)미래SCI,28040,2014/12,2021/04/13,1,74601,  도매 및 상품 중개업,4
24,(주)미래자원엠엘,233190,2014/12,2017/12/28,1,31008,  식료품 제조업,4
25,(주)미래테크놀로지,213090,2014/12,2021/10/05,1,105802,  출판업,4
26,(주)미애부,225850,2014/12,2022/04/27,1,74604,  도매 및 상품 중개업,4
27,(주)바이오빌,65940,2014/12,2020/07/31,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
28,(주)보루네오가구,4740,2014/12,2017/07/05,1,33201,  가구 제조업,4
29,(주)본느,242420,2014/12,2018/10/29,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
30,(주)부산도시가스,15350,2014/12,2022/01/18,1,43502,"  전기, 가스, 증기 및 공기조절 공급업",4
31,(주)비앤에스미디어,156170,2014/12,2017/07/13,1,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
32,(주)비에이치,90460,2014/12,2023/06/20,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
33,(주)비엔디생활건강,215050,2014/12,2023/04/21,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
34,(주)비엔씨컴퍼니,58370,2014/12,2017/05/08,1,74607,  도매 및 상품 중개업,4
35,(주)사조해표,79660,2014/12,2019/06/26,1,31007,  식료품 제조업,4
36,(주)삼양제넥스,3940,2014/12,2016/01/21,1,31007,  식료품 제조업,4
37,(주)세기리텍,199870,2014/12,2018/03/28,1,32402,  1차 금속 제조업,4
38,(주)세영디앤씨,52190,2014/12,2022/05/27,1,189001,"  창작, 예술 및 여가관련 서비스업",4
39,(주)세화피앤씨,85980,2014/12,2017/09/19,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
40,(주)셀트리온,68270,2014/12,2018/02/09,1,32101,  의료용 물질 및 의약품 제조업,4
41,(주)소리바다,53110,2014/12,2022/09/07,1,106301,  정보서비스업,4
42,(주)솔트웍스,222520,2014/12,2016/12/05,1,105802,  출판업,4
43,(주)스틸플라워,87220,2014/12,2018/05/08,1,32401,  1차 금속 제조업,4
44,(주)스페이스솔루션,245030,2014/12,2019/02/27,1,105802,  출판업,4
45,(주)승화프리텍,111610,2014/12,2016/01/25,1,64201,  전문직별 공사업,4
46,(주)시냅스엠,246830,2014/12,2018/05/14,1,106301,  정보서비스업,4
47,(주)신성에프에이,104120,2014/12,2017/01/02,1,32902,  기타 기계 및 장비 제조업,4
48,(주)신성이엔지,104110,2014/12,2017/01/02,1,32901,  기타 기계 및 장비 제조업,4
49,(주)신양오라컴디스플레이,86830,2014/12,2017/05/08,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
50,(주)신일건업,14350,2014/12,2015/04/15,1,64101,  종합 건설업,4
51,(주)신한,5450,2014/12,2020/06/30,1,64101,  종합 건설업,4
52,(주)심팩메탈,90730,2014/12,2018/07/17,1,32401,  1차 금속 제조업,4
53,(주)썬코어,51170,2014/12,2018/03/15,1,32901,  기타 기계 및 장비 제조업,4
54,(주)썬테크놀로지스,122800,2014/12,2020/02/12,1,32403,  1차 금속 제조업,4
55,(주)씨그널엔터테인먼트그룹,99830,2014/12,2018/05/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
56,(주)씨앤에스자산관리,32040,2014/12,2018/10/11,1,147509,  사업지원 서비스업,4
57,(주)씨앤케이인터내셔널,39530,2014/12,2015/05/19,1,32402,  1차 금속 제조업,4
58,(주)씨엘인터내셔널,37340,2014/12,2016/09/08,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
59,(주)씨엠에스에듀,225330,2014/12,2022/03/17,1,168505,  교육 서비스업,4
60,(주)씨티네트웍스,189540,2014/12,2020/05/12,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
61,(주)아이디에스,78780,2014/12,2016/04/28,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
62,(주)아이엠텍,226350,2014/12,2021/06/11,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
63,(주)아이팩토리,53810,2014/12,2016/09/19,1,32902,  기타 기계 및 장비 제조업,4
64,(주)에스마크,30270,2014/12,2020/05/21,1,31301,  섬유제품 제조업; 의복제외,4
65,(주)에스에스컴텍,36500,2014/12,2017/05/11,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
66,(주)에스에이티,158300,2014/12,2021/12/09,1,32902,  기타 기계 및 장비 제조업,4
67,(주)에스에프씨,112240,2014/12,2020/06/30,1,32202,  고무 및 플라스틱제품 제조업,4
68,(주)에스와이이노베이션,194860,2014/12,2017/04/12,1,32202,  고무 및 플라스틱제품 제조업,4
69,(주)에스제이케이,80440,2014/12,2021/09/13,1,74607,  도매 및 상품 중개업,4
70,(주)에이치디,102210,2014/12,2021/04/19,1,33101,  기타 운송장비 제조업,4
71,(주)에이치앤아이,103650,2014/12,2016/07/14,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
72,(주)에이팸,73070,2014/12,2021/06/04,1,33003,  자동차 및 트레일러 제조업,4
73,(주)에임하이글로벌,43580,2014/12,2018/08/10,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
74,(주)에코바이브,15540,2014/12,2023/11/07,1,147509,  사업지원 서비스업,4
75,(주)에프티이앤이,65160,2014/12,2019/05/03,1,32005,  화학물질 및 화학제품 제조업; 의약품 제외,4
76,(주)엔에스브이,95300,2014/12,2017/09/12,1,32901,  기타 기계 및 장비 제조업,4
77,(주)엔에스쇼핑,138250,2014/12,2022/03/22,1,74709,  소매업; 자동차 제외,4
78,(주)엘엑스세미콘,108320,2014/12,2022/11/03,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
79,(주)엘지생명과학,68870,2014/12,2017/01/17,1,32102,  의료용 물질 및 의약품 제조업,4
80,(주)엘피케이로보틱스,183350,2014/12,2020/06/17,1,32902,  기타 기계 및 장비 제조업,4
81,(주)엠씨넥스,97520,2014/12,2021/07/06,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
82,(주)엠제이비,74150,2014/12,2016/09/05,1,64202,  전문직별 공사업,4
83,(주)엠피씨플러스,50540,2014/12,2023/05/08,1,147509,  사업지원 서비스업,4
84,(주)연이비앤티,90740,2014/12,2022/10/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
85,(주)영진코퍼레이션,53330,2014/12,2015/04/23,1,32901,  기타 기계 및 장비 제조업,4
86,(주)영현무역,242850,2014/12,2019/05/22,1,74601,  도매 및 상품 중개업,4
87,(주)와이즈파워,40670,2014/12,2015/07/16,1,32802,  전기장비 제조업,4
88,(주)우성아이비,194610,2014/12,2018/10/12,1,33309,  기타 제품 제조업,4
89,(주)우전,52270,2014/12,2017/04/13,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
