,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)LG데이콤,15940,2006/12,2010/01/15,1,106102,  우편 및 통신업,4
1,(주)LG파워콤,45820,2006/12,2010/01/15,1,106102,  우편 및 통신업,4
2,(주)경윤하이드로에너지,19120,2006/12,2011/04/06,1,31501,"  가죽, 가방 및 신발 제조업",4
3,(주)고제,2540,2006/12,2010/04/23,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
4,(주)골드카운티,58900,2006/12,2010/10/12,1,105802,  출판업,4
5,(주)굿이엠지,51530,2006/12,2009/11/03,1,105902,  영상ㆍ오디오 기록물 제작 및 배급업,4
6,(주)글로포스트,37830,2006/12,2010/02/09,1,32401,  1차 금속 제조업,4
7,(주)금빛,45890,2006/12,2021/12/20,1,32804,  전기장비 제조업,4
8,(주)기린,6070,2006/12,2009/05/13,1,31007,  식료품 제조업,4
9,(주)나노트로닉스,10670,2006/12,2014/04/11,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",4
10,(주)나노하이텍,71360,2006/12,2009/04/29,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
11,(주)나리지*온,36850,2006/12,2010/07/14,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
12,(주)네오리소스,58550,2006/12,2009/09/15,1,74607,  도매 및 상품 중개업,4
13,(주)네오퍼플,28090,2006/12,2013/05/03,1,31007,  식료품 제조업,4
14,(주)네이쳐글로벌,88020,2006/12,2011/01/08,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
15,(주)넥스지,81970,2006/12,2018/10/11,1,105802,  출판업,4
16,(주)넷웨이브,47730,2006/12,2012/11/17,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
17,(주)녹십자셀,31390,2006/12,2021/11/17,1,32101,  의료용 물질 및 의약품 제조업,4
18,(주)뉴젠비아이티,54650,2006/12,2009/09/04,1,74605,  도매 및 상품 중개업,4
19,(주)뉴젠아이씨티,54150,2006/12,2011/04/29,1,74605,  도매 및 상품 중개업,4
20,(주)뉴켐진스템셀,36280,2006/12,2009/04/24,1,32805,  전기장비 제조업,4
21,(주)다린,204690,2006/12,2017/08/02,1,32202,  고무 및 플라스틱제품 제조업,4
22,(주)다함이텍,9280,2006/12,2013/04/16,1,137105,  전문 서비스업,4
23,(주)다휘,55250,2006/12,2010/10/01,1,32901,  기타 기계 및 장비 제조업,4
24,(주)단성일렉트론,85990,2006/12,2010/05/08,1,32902,  기타 기계 및 장비 제조업,4
25,(주)대국,42340,2006/12,2012/04/13,1,74608,  도매 및 상품 중개업,4
26,(주)대성합동지주,5620,2006/12,2017/08/25,1,137105,  전문 서비스업,4
27,(주)대양글로벌,40180,2006/12,2011/10/25,1,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",4
28,(주)대한은박지,7480,2006/09,2013/01/28,1,32402,  1차 금속 제조업,4
29,(주)더존디지털웨어,45380,2006/12,2009/12/09,1,105802,  출판업,4
30,(주)더체인지,54120,2006/12,2011/12/15,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
31,(주)데코,13650,2006/12,2010/10/19,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
32,(주)데코앤이,17680,2006/12,2019/11/20,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
33,(주)도움,78610,2006/12,2009/04/11,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
34,(주)동서,26960,2006/12,2016/07/15,1,74603,  도매 및 상품 중개업,4
35,(주)동성하이켐,13450,2006/12,2015/07/20,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
36,(주)동성화학,5190,2006/12,2021/04/16,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
37,(주)동양건설산업,5900,2006/12,2014/04/25,1,64102,  종합 건설업,4
38,(주)두림티앤씨,33330,2006/12,2008/05/03,1,32202,  고무 및 플라스틱제품 제조업,4
39,(주)디보스,80140,2006/12,2010/02/02,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
40,(주)디씨씨,34750,2006/12,2008/07/12,1,106002,  방송업,4
41,(주)디아이디,74130,2006/12,2015/07/23,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
42,(주)디앤샵,90090,2006/12,2011/12/15,1,74709,  소매업; 자동차 제외,4
43,(주)디에스,51710,2006/12,2013/05/01,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
44,(주)디에스피이엔티,16040,2006/12,2009/04/11,1,33003,  자동차 및 트레일러 제조업,4
45,(주)디에이치패션,45260,2006/12,2012/08/01,1,74607,  도매 및 상품 중개업,4
46,(주)디지텍시스템스,91690,2006/12,2015/01/21,1,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
47,(주)디패션,30420,2006/12,2011/05/07,1,106301,  정보서비스업,4
48,(주)레드로버,60300,2006/12,2022/11/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
49,(주)레이더스컴퍼니,47420,2006/03,2006/07/13,1,105802,  출판업,4
50,(주)렉스엘이앤지,4790,2006/12,2014/03/04,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
51,(주)로케트전기,420,2006/12,2015/02/24,1,32802,  전기장비 제조업,4
52,(주)롯데미도파,4010,2006/12,2013/01/22,1,74701,  소매업; 자동차 제외,4
53,(주)루트로닉,85370,2006/12,2023/10/27,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
54,(주)룩손에너지홀딩스,33550,2006/12,2013/05/07,1,74605,  도매 및 상품 중개업,4
55,(주)마이스코,88700,2006/12,2013/05/04,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
56,(주)맥스브로,88810,2006/12,2011/04/29,1,32202,  고무 및 플라스틱제품 제조업,4
57,(주)메카포럼,35830,2006/12,2010/07/16,1,189001,"  창작, 예술 및 여가관련 서비스업",4
58,(주)멜파스,96640,2006/12,2023/07/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
59,(주)모델라인,64720,2006/12,2008/04/12,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
60,(주)모라리소스,18890,2006/12,2010/07/22,1,32202,  고무 및 플라스틱제품 제조업,4
61,(주)모보,51810,2006/12,2010/04/13,1,32803,  전기장비 제조업,4
62,(주)모빌탑,85680,2006/12,2009/11/25,1,105802,  출판업,4
63,(주)모젬,79560,2006/12,2010/04/13,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
64,(주)무학,33920,2006/12,2010/07/20,1,31101,  음료 제조업,4
65,(주)미디어코프,53890,2006/12,2009/04/11,1,105801,  출판업,4
66,(주)미래SCI,28040,2006/12,2021/04/13,1,74601,  도매 및 상품 중개업,4
67,(주)미성포리테크,94700,2006/12,2012/04/13,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
68,(주)바이나믹,67850,2006/12,2010/05/19,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
69,(주)바이오빌,65940,2006/12,2020/07/31,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
70,(주)배명금속,11800,2006/12,2012/09/03,1,32401,  1차 금속 제조업,4
71,(주)베스트플로우,60410,2006/12,2008/09/03,1,147509,  사업지원 서비스업,4
72,(주)보광티에스,66690,2006/12,2012/05/01,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
73,(주)보루네오가구,4740,2006/12,2017/07/05,1,33201,  가구 제조업,4
74,(주)보홍,41320,2006/12,2010/05/08,1,74605,  도매 및 상품 중개업,4
75,(주)봉신,5350,2006/12,2011/04/15,1,85001,  수상 운송업,4
76,(주)부산도시가스,15350,2006/12,2022/01/18,1,43502,"  전기, 가스, 증기 및 공기조절 공급업",4
77,(주)브이에스에스티,35400,2006/12,2010/10/01,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
78,(주)블루멈,33880,2006/12,2009/09/04,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
79,(주)블루스톤디앤아이,33720,2006/12,2009/05/15,1,105802,  출판업,4
80,(주)블루젬디앤씨,53040,2006/12,2012/05/17,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
81,(주)비앤비성원,15200,2006/12,2012/05/01,1,32401,  1차 금속 제조업,4
82,(주)비에이치,90460,2006/12,2023/06/20,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
83,(주)비에이치케이,3990,2006/12,2009/04/30,1,74608,  도매 및 상품 중개업,4
84,(주)비엔디,47940,2006/12,2010/01/29,1,31008,  식료품 제조업,4
85,(주)비엔씨컴퍼니,58370,2006/12,2017/05/08,1,74607,  도매 및 상품 중개업,4
86,(주)사라콤,40020,2006/12,2009/05/27,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
87,(주)사이노젠,64060,2006/12,2010/04/13,1,32901,  기타 기계 및 장비 제조업,4
88,(주)사이버패스,63280,2006/12,2009/07/08,1,105802,  출판업,4
89,(주)사조해표,79660,2006/12,2019/06/26,1,31007,  식료품 제조업,4
90,(주)삼보컴퓨터,14900,2006/12,2007/04/25,1,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
91,(주)삼성수산,52560,2006/12,2009/07/01,1,10301,  어업,4
92,(주)삼양엔텍,8720,2006/12,2014/12/30,1,32902,  기타 기계 및 장비 제조업,4
93,(주)삼양제넥스,3940,2006/12,2016/01/21,1,31007,  식료품 제조업,4
94,(주)삼우이엠씨,26250,2006/12,2013/04/12,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,4
95,(주)샤인시스템,66300,2006/12,2010/06/29,1,32202,  고무 및 플라스틱제품 제조업,4
96,(주)서광건설산업,1600,2006/12,2010/04/15,1,64102,  종합 건설업,4
97,(주)선우중공업,68770,2006/12,2010/06/17,1,32902,  기타 기계 및 장비 제조업,4
98,(주)선진지주,14300,2006/12,2013/01/18,1,31006,  식료품 제조업,4
99,(주)선팩테크,54010,2006/12,2011/10/06,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
100,(주)성우몰드,53440,2006/12,2010/04/21,1,33003,  자동차 및 트레일러 제조업,4
101,(주)세계투어,47600,2006/12,2011/09/09,1,147502,  사업지원 서비스업,4
102,(주)세라온홀딩스,50600,2006/12,2008/09/09,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
103,(주)세븐코스프,17160,2006/12,2011/04/29,1,31008,  식료품 제조업,4
104,(주)세실,84450,2006/12,2011/02/10,1,32101,  의료용 물질 및 의약품 제조업,4
105,(주)세영디앤씨,52190,2006/12,2022/05/27,1,189001,"  창작, 예술 및 여가관련 서비스업",4
106,(주)세화피앤씨,85980,2006/12,2017/09/19,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
107,(주)셀런,13240,2006/12,2011/04/15,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
108,(주)셀트리온,68270,2006/12,2018/02/09,1,32101,  의료용 물질 및 의약품 제조업,4
