,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
142,성지건설(주),5980,2017/12,2018/10/04,1,64102,  종합 건설업,4
143,세신버팔로(주),110660,2017/12,2018/10/11,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
144,세종머티리얼즈(주),135270,2017/12,2019/10/02,1,32402,  1차 금속 제조업,4
145,소프트캠프(주),210610,2017/12,2019/12/30,1,105802,  출판업,4
146,씨제이이앤엠(주),130960,2017/12,2018/07/18,1,106002,  방송업,4
147,알보젠코리아(주),2250,2017/12,2019/05/20,1,32102,  의료용 물질 및 의약품 제조업,4
148,에스비에스미디어홀딩스(주),101060,2017/12,2022/01/18,1,106002,  방송업,4
149,에스앤씨엔진그룹리미티드,900080,2017/12,2021/06/14,1,137105,  전문 서비스업,4
150,에스에이치엔엘(주),50320,2017/12,2022/05/31,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
151,에스엠로보틱스(주),252940,2017/12,2018/04/25,1,33304,  기타 제품 제조업,4
152,에스지에이클라우드서비스(주),224880,2017/12,2021/05/06,1,105802,  출판업,4
153,에스케이 머티리얼즈(주),36490,2017/12,2021/12/27,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
154,에스케이씨솔믹스(주),57500,2017/12,2020/12/23,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
155,에스케이오션플랜트(주),100090,2017/12,2023/04/19,1,32401,  1차 금속 제조업,4
156,에이아이비트(주),39230,2017/12,2021/10/06,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",4
157,엠에프엠코리아(주),251960,2017/12,2020/12/30,1,31403,"  의복, 의복 액세서리 및 모피제품 제조업",4
158,오스템임플란트(주),48260,2017/12,2023/08/14,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
159,완리인터내셔널홀딩스,900180,2017/12,2018/05/23,1,137105,  전문 서비스업,4
160,웅진에너지(주),103130,2017/12,2020/06/01,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
161,원텍(주),216280,2017/12,2022/06/30,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
162,유네코(주),64510,2017/12,2023/01/17,1,32902,  기타 기계 및 장비 제조업,4
163,이에스산업(주),241510,2017/12,2021/01/26,1,32901,  기타 기계 및 장비 제조업,4
164,이엘케이(주),94190,2017/12,2020/05/22,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
165,자안바이오(주),221610,2017/12,2022/01/05,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
166,줌인터넷(주),229480,2017/12,2019/06/10,1,106301,  정보서비스업,4
167,지나인제약(주),78650,2017/12,2023/07/21,1,32703,"  의료, 정밀, 광학기기 및 시계 제조업",4
168,지스마트글로벌(주),114570,2017/12,2022/02/23,1,74608,  도매 및 상품 중개업,4
169,차이나그레이트스타인터내셔널리미티드,900040,2017/12,2020/05/22,1,137105,  전문 서비스업,4
170,차이나하오란리사이클링유한공사,900090,2017/12,2019/01/02,1,137105,  전문 서비스업,4
171,참존글로벌(주),158310,2017/12,2022/11/09,1,32902,  기타 기계 및 장비 제조업,4
172,청광건설(주),140290,2017/12,2023/05/08,1,64102,  종합 건설업,4
173,케어룸의료산업(주),327970,2017/12,2022/03/11,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
174,케이맥(주),43290,2017/12,2021/07/20,1,32902,  기타 기계 및 장비 제조업,4
175,케이엠제약(주),237720,2017/03,2018/09/28,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
176,코리아오토글라스(주),152330,2017/12,2020/12/18,1,32301,  비금속 광물제품 제조업,4
177,코오롱머티리얼(주),144620,2017/12,2021/11/05,1,32005,  화학물질 및 화학제품 제조업; 의약품 제외,4
178,피아이첨단소재(주),178920,2017/12,2021/08/09,1,32202,  고무 및 플라스틱제품 제조업,4
179,한국유리공업(주),2000,2017/12,2018/12/13,1,32301,  비금속 광물제품 제조업,4
180,한국제지(주),2300,2017/12,2020/07/13,1,31701,"  펄프, 종이 및 종이제품 제조업",4
181,한솔신텍(주),99660,2017/12,2018/07/09,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,4
182,한일네트웍스(주),46110,2017/12,2022/10/05,1,106301,  정보서비스업,4
183,현대정보기술(주),26180,2017/12,2019/07/17,1,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",4
184,현진소재(주),53660,2017/12,2022/04/26,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
