,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
865,(주)위닉스,44340,2019/12,,1,32805,  전기장비 제조업,5
866,(주)위드텍,348350,2019/12,,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",5
867,(주)위메이드,112040,2019/12,,1,105802,  출판업,5
868,(주)위메이드맥스,101730,2019/12,,1,105802,  출판업,5
869,(주)위메이드플레이,123420,2019/12,,1,105802,  출판업,5
870,(주)위세아이텍,65370,2019/12,,1,105802,  출판업,5
871,(주)위스컴,24070,2019/12,,1,32202,  고무 및 플라스틱제품 제조업,1
872,(주)위지윅스튜디오,299900,2019/12,,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,5
873,(주)위지트,36090,2019/12,,1,32902,  기타 기계 및 장비 제조업,5
874,(주)윈스,136540,2019/12,,1,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",5
875,(주)윈팩,97800,2019/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
876,(주)윈하이텍,192390,2019/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
877,(주)윌링스,313760,2019/12,,1,32801,  전기장비 제조업,5
878,(주)윌비스,8600,2019/12,,1,74604,  도매 및 상품 중개업,1
879,(주)윙스풋,335870,2019/12,,1,74704,  소매업; 자동차 제외,5
880,(주)유니드,14830,2019/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
881,(주)유니온,910,2019/12,,1,32303,  비금속 광물제품 제조업,1
882,(주)유니온커뮤니티,203450,2019/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
883,(주)유니켐,11330,2019/12,,1,31501,"  가죽, 가방 및 신발 제조업",1
884,(주)유니크,11320,2019/12,,1,33003,  자동차 및 트레일러 제조업,5
885,(주)유니테스트,86390,2019/12,,1,32902,  기타 기계 및 장비 제조업,5
886,(주)유니테크노,241690,2019/12,,1,33003,  자동차 및 트레일러 제조업,5
887,(주)유니트론텍,142210,2019/12,,1,74605,  도매 및 상품 중개업,5
888,(주)유라테크,48430,2019/12,,1,32801,  전기장비 제조업,5
889,(주)유바이오로직스,206650,2019/12,,1,32102,  의료용 물질 및 의약품 제조업,5
890,(주)유비온,84440,2019/09,,1,106309,  정보서비스업,5
891,(주)유비케어,32620,2019/12,,1,105802,  출판업,5
