,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)CMG제약,58820,2003/12,,1,32102,  의료용 물질 및 의약품 제조업,5
1,(주)DB하이텍,990,2003/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
2,(주)ES큐브,50120,2003/06,,1,74604,  도매 및 상품 중개업,5
3,(주)MH에탄올,23150,2003/12,,1,31101,  음료 제조업,1
4,(주)SH에너지화학,2360,2003/06,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
5,(주)SIMPAC,9160,2003/12,,1,32401,  1차 금속 제조업,1
6,(주)SNT홀딩스,36530,2003/12,,1,137105,  전문 서비스업,1
7,(주)STX,11810,2003/12,,1,74608,  도매 및 상품 중개업,1
8,(주)TCC스틸,2710,2003/12,,1,32401,  1차 금속 제조업,1
9,(주)가비아,79940,2003/12,,1,105802,  출판업,5
10,(주)강원랜드,35250,2003/12,,1,189102,  스포츠 및 오락관련 서비스업,1
11,(주)강원에너지,114190,2003/11,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
12,(주)갤럭시아에스엠,11420,2003/12,,1,189101,  스포츠 및 오락관련 서비스업,1
13,(주)경농,2100,2003/12,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,1
14,(주)경동나비엔,9450,2003/12,,1,32805,  전기장비 제조업,1
15,(주)경동인베스트,12320,2003/12,,1,137105,  전문 서비스업,1
16,(주)경방,50,2003/12,,1,74701,  소매업; 자동차 제외,1
17,(주)경보제약,214390,2003/12,,1,32101,  의료용 물질 및 의약품 제조업,1
18,(주)경인양행,12610,2003/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
19,(주)골드앤에스,35290,2003/12,,1,105801,  출판업,5
20,(주)광림,14200,2003/12,,1,33001,  자동차 및 트레일러 제조업,6
21,(주)광명전기,17040,2003/11,,1,32801,  전기장비 제조업,1
22,(주)광무,29480,2003/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
23,(주)광주신세계,37710,2003/12,,1,74701,  소매업; 자동차 제외,1
24,(주)구영테크,53270,2003/12,,1,33003,  자동차 및 트레일러 제조업,5
25,(주)국동,5320,2003/12,,1,74604,  도매 및 상품 중개업,1
26,(주)국보,1140,2003/12,,1,84903,  육상운송 및 파이프라인 운송업,1
27,(주)국보디자인,66620,2003/12,,1,64204,  전문직별 공사업,5
28,(주)국순당,43650,2003/12,,1,31101,  음료 제조업,5
29,(주)국영지앤엠,6050,2003/12,,1,32301,  비금속 광물제품 제조업,5
30,(주)그래디언트,35080,2003/12,,1,74709,  소매업; 자동차 제외,5
31,(주)글로벌스탠다드테크놀로지,83450,2003/12,,1,32902,  기타 기계 및 장비 제조업,5
32,(주)금비,8870,2003/09,,1,32301,  비금속 광물제품 제조업,1
33,(주)금양,1570,2003/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
34,(주)금호에이치티,214330,2003/12,,1,33003,  자동차 및 트레일러 제조업,1
35,(주)금화피에스시,36190,2003/12,,1,64203,  전문직별 공사업,5
36,(주)기산텔레콤,35460,2003/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
37,(주)까뮤이앤씨,13700,2003/12,,1,64101,  종합 건설업,1
38,(주)나노신소재,121600,2003/12,,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,5
39,(주)나노엔텍,39860,2003/12,,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",5
40,(주)나래나노텍,137080,2003/12,,1,32902,  기타 기계 및 장비 제조업,5
41,(주)나이스홀딩스,34310,2003/12,,1,137105,  전문 서비스업,1
42,(주)남선알미늄,8350,2003/12,,1,32402,  1차 금속 제조업,1
43,(주)남성,4270,2003/12,,1,74607,  도매 및 상품 중개업,1
44,(주)네오위즈홀딩스,42420,2003/12,,1,105802,  출판업,5
45,(주)네오티스,85910,2003/12,,1,33003,  자동차 및 트레일러 제조업,5
46,(주)네이처셀,7390,2003/12,,1,32101,  의료용 물질 및 의약품 제조업,5
47,(주)네패스,33640,2003/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
48,(주)넥센,5720,2003/12,,1,32201,  고무 및 플라스틱제품 제조업,1
49,(주)넥스턴바이오사이언스,89140,2003/12,,1,32902,  기타 기계 및 장비 제조업,5
50,(주)노루홀딩스,320,2003/12,,1,137105,  전문 서비스업,1
51,(주)녹십자,6280,2003/12,,1,32102,  의료용 물질 및 의약품 제조업,1
52,(주)녹십자홀딩스,5250,2003/12,,1,137105,  전문 서비스업,1
53,(주)녹원씨엔아이,65560,2003/12,,1,31801,  인쇄 및 기록매체 복제업,6
54,(주)농심,4370,2003/12,,1,31007,  식료품 제조업,1
55,(주)농심홀딩스,72710,2003/12,,1,137105,  전문 서비스업,1
56,(주)누리플랜,69140,2003/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
57,(주)누리플렉스,40160,2003/12,,1,105802,  출판업,5
58,(주)뉴보텍,60260,2003/12,,1,32202,  고무 및 플라스틱제품 제조업,5
59,(주)뉴인텍,12340,2003/12,,1,33003,  자동차 및 트레일러 제조업,5
60,(주)뉴프렉스,85670,2003/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
61,(주)다날,64260,2003/12,,1,105802,  출판업,5
62,(주)다산네트웍스,39560,2003/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
63,(주)다우기술,23590,2003/12,,1,106301,  정보서비스업,1
64,(주)다우데이타,32190,2003/12,,1,74605,  도매 및 상품 중개업,5
65,(주)다이나믹디자인,145210,2003/12,,1,32902,  기타 기계 및 장비 제조업,1
66,(주)대교,19680,2003/12,,1,168501,  교육 서비스업,1
67,(주)대구백화점,6370,2003/03,,1,74701,  소매업; 자동차 제외,1
68,(주)대덕,8060,2003/12,,1,137105,  전문 서비스업,1
69,(주)대동,490,2003/12,,1,32902,  기타 기계 및 장비 제조업,1
70,(주)대동스틸,48470,2003/12,,1,32401,  1차 금속 제조업,5
71,(주)대륙제관,4780,2003/12,,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,5
72,(주)대림제지,17650,2003/12,,1,31709,"  펄프, 종이 및 종이제품 제조업",5
73,(주)대명소노시즌,7720,2003/12,,1,74608,  도매 및 상품 중개업,5
74,(주)대성미생물연구소,36480,2003/12,,1,32102,  의료용 물질 및 의약품 제조업,5
75,(주)대성파인텍,104040,2003/12,,1,33003,  자동차 및 트레일러 제조업,5
76,(주)대양금속,9190,2003/03,,1,32401,  1차 금속 제조업,1
77,(주)대우건설,47040,2003/12,,1,64101,  종합 건설업,1
78,(주)대웅,3090,2003/03,,1,32102,  의료용 물질 및 의약품 제조업,1
79,(주)대웅제약,69620,2003/03,,1,32102,  의료용 물질 및 의약품 제조업,1
80,(주)대원,7680,2003/12,,1,64101,  종합 건설업,5
81,(주)대유,290380,2003/06,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,6
82,(주)대유에이텍,2880,2003/12,,1,33003,  자동차 및 트레일러 제조업,1
83,(주)대유플러스,300,2003/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",3
84,(주)대창,12800,2003/12,,1,32402,  1차 금속 제조업,1
85,(주)대창솔루션,96350,2003/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
86,(주)대창스틸,140520,2003/12,,1,32401,  1차 금속 제조업,5
87,(주)대한항공,3490,2003/12,,1,85101,  항공 운송업,1
88,(주)대현,16090,2003/12,,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",1
89,(주)대호에이엘,69460,2003/12,,1,32402,  1차 금속 제조업,1
90,(주)대호특수강,21040,2003/12,,1,32401,  1차 금속 제조업,5
91,(주)더존비즈온,12510,2003/12,,1,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",1
92,(주)덕성,4830,2003/12,,1,32202,  고무 및 플라스틱제품 제조업,1
93,(주)덕신하우징,90410,2003/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
94,(주)도화엔지니어링,2150,2003/12,,1,137201,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",1
95,(주)동구바이오제약,6620,2003/12,,1,32102,  의료용 물질 및 의약품 제조업,5
96,(주)동국알앤에스,75970,2003/12,,1,32309,  비금속 광물제품 제조업,5
97,(주)동국에스엔씨,100130,2003/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
98,(주)동남합성,23450,2003/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
99,(주)동방,4140,2003/12,,1,85209,  창고 및 운송관련 서비스업,1
100,(주)동방아그로,7590,2003/12,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,1
101,(주)동서,26960,2003/12,,1,74603,  도매 및 상품 중개업,1
102,(주)동성화인텍,33500,2003/06,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,5
103,(주)동아엘텍,88130,2003/12,,1,32902,  기타 기계 및 장비 제조업,5
104,(주)동아지질,28100,2003/12,,1,64201,  전문직별 공사업,1
105,(주)동양,1520,2003/12,,1,32303,  비금속 광물제품 제조업,1
106,(주)동양에스텍,60380,2003/12,,1,32401,  1차 금속 제조업,5
107,(주)동우팜투테이블,88910,2003/12,,1,31001,  식료품 제조업,5
108,(주)동원개발,13120,2003/12,,1,64101,  종합 건설업,5
109,(주)동원에프앤비,49770,2003/12,,1,31007,  식료품 제조업,1
110,(주)동일기연,32960,2003/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
111,(주)동진쎄미켐,5290,2003/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,5
112,(주)두산,150,2003/12,,1,137105,  전문 서비스업,1
113,(주)두올,16740,2003/12,,1,33003,  자동차 및 트레일러 제조업,1
114,(주)듀오백,73190,2003/12,,1,33201,  가구 제조업,5
115,(주)드래곤플라이,30350,2003/12,,1,105802,  출판업,5
116,(주)드림어스컴퍼니,60570,2003/12,,1,106301,  정보서비스업,5
117,(주)드림텍,192650,2003/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
118,(주)디모아,16670,2003/12,,1,74607,  도매 및 상품 중개업,5
119,(주)디비아이엔씨,12030,2003/12,,1,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",1
120,(주)디스플레이테크,66670,2003/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
121,(주)디아이,3160,2003/12,,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1
122,(주)디아이씨,92200,2003/12,,1,33003,  자동차 및 트레일러 제조업,1
123,(주)디알비동일,4840,2003/12,,1,32201,  고무 및 플라스틱제품 제조업,1
124,(주)디에이치오토웨어,25440,2003/12,,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
125,(주)디에이피,66900,2003/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
