,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)CMG제약,58820,2005/12,,1,32102,  의료용 물질 및 의약품 제조업,5
1,(주)DB하이텍,990,2005/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
2,(주)ES큐브,50120,2005/12,,1,74604,  도매 및 상품 중개업,5
3,(주)MH에탄올,23150,2005/12,,1,31101,  음료 제조업,1
4,(주)SH에너지화학,2360,2005/06,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
5,(주)SIMPAC,9160,2005/12,,1,32401,  1차 금속 제조업,1
6,(주)SNT홀딩스,36530,2005/12,,1,137105,  전문 서비스업,1
7,(주)STX,11810,2005/12,,1,74608,  도매 및 상품 중개업,1
8,(주)TCC스틸,2710,2005/12,,1,32401,  1차 금속 제조업,1
9,(주)가비아,79940,2005/12,,1,105802,  출판업,5
10,(주)강원랜드,35250,2005/12,,1,189102,  스포츠 및 오락관련 서비스업,1
11,(주)강원에너지,114190,2005/11,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
12,(주)갤럭시아에스엠,11420,2005/12,,1,189101,  스포츠 및 오락관련 서비스업,1
13,(주)경농,2100,2005/12,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,1
14,(주)경동나비엔,9450,2005/12,,1,32805,  전기장비 제조업,1
15,(주)경동인베스트,12320,2005/12,,1,137105,  전문 서비스업,1
16,(주)경방,50,2005/12,,1,74701,  소매업; 자동차 제외,1
17,(주)경보제약,214390,2005/12,,1,32101,  의료용 물질 및 의약품 제조업,1
18,(주)경인양행,12610,2005/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
19,(주)고영테크놀러지,98460,2005/12,,1,32902,  기타 기계 및 장비 제조업,5
20,(주)골드앤에스,35290,2005/12,,1,105801,  출판업,5
21,(주)광림,14200,2005/12,,1,33001,  자동차 및 트레일러 제조업,6
22,(주)광명전기,17040,2005/12,,1,32801,  전기장비 제조업,1
23,(주)광무,29480,2005/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
24,(주)광주신세계,37710,2005/12,,1,74701,  소매업; 자동차 제외,1
25,(주)구영테크,53270,2005/12,,1,33003,  자동차 및 트레일러 제조업,5
26,(주)국동,5320,2005/12,,1,74604,  도매 및 상품 중개업,1
27,(주)국보,1140,2005/12,,1,84903,  육상운송 및 파이프라인 운송업,1
28,(주)국보디자인,66620,2005/12,,1,64204,  전문직별 공사업,5
29,(주)국순당,43650,2005/12,,1,31101,  음료 제조업,5
30,(주)국영지앤엠,6050,2005/12,,1,32301,  비금속 광물제품 제조업,5
31,(주)그래디언트,35080,2005/12,,1,74709,  소매업; 자동차 제외,5
32,(주)글로벌스탠다드테크놀로지,83450,2005/12,,1,32902,  기타 기계 및 장비 제조업,5
33,(주)금비,8870,2005/09,,1,32301,  비금속 광물제품 제조업,1
34,(주)금양,1570,2005/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
35,(주)금호에이치티,214330,2005/12,,1,33003,  자동차 및 트레일러 제조업,1
36,(주)금화피에스시,36190,2005/12,,1,64203,  전문직별 공사업,5
37,(주)기산텔레콤,35460,2005/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
38,(주)까뮤이앤씨,13700,2005/12,,1,64101,  종합 건설업,1
39,(주)나노신소재,121600,2005/12,,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,5
40,(주)나노엔텍,39860,2005/12,,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",5
41,(주)나래나노텍,137080,2005/12,,1,32902,  기타 기계 및 장비 제조업,5
42,(주)나스미디어,89600,2005/12,,1,137103,  전문 서비스업,5
43,(주)나이스홀딩스,34310,2005/12,,1,137105,  전문 서비스업,1
44,(주)남선알미늄,8350,2005/12,,1,32402,  1차 금속 제조업,1
45,(주)남성,4270,2005/12,,1,74607,  도매 및 상품 중개업,1
46,(주)네오위즈홀딩스,42420,2005/12,,1,105802,  출판업,5
47,(주)네오티스,85910,2005/12,,1,33003,  자동차 및 트레일러 제조업,5
48,(주)네오팜,92730,2005/06,,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,5
49,(주)네이처셀,7390,2005/12,,1,32101,  의료용 물질 및 의약품 제조업,5
50,(주)네패스,33640,2005/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
51,(주)넥센,5720,2005/12,,1,32201,  고무 및 플라스틱제품 제조업,1
52,(주)넥스턴바이오사이언스,89140,2005/12,,1,32902,  기타 기계 및 장비 제조업,5
53,(주)노루홀딩스,320,2005/12,,1,137105,  전문 서비스업,1
54,(주)노블엠앤비,106520,2005/12,,1,32703,"  의료, 정밀, 광학기기 및 시계 제조업",6
55,(주)녹십자,6280,2005/12,,1,32102,  의료용 물질 및 의약품 제조업,1
56,(주)녹십자홀딩스,5250,2005/12,,1,137105,  전문 서비스업,1
57,(주)녹원씨엔아이,65560,2005/12,,1,31801,  인쇄 및 기록매체 복제업,6
58,(주)농심,4370,2005/12,,1,31007,  식료품 제조업,1
59,(주)농심홀딩스,72710,2005/12,,1,137105,  전문 서비스업,1
60,(주)누리플랜,69140,2005/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
61,(주)누리플렉스,40160,2005/12,,1,105802,  출판업,5
62,(주)뉴보텍,60260,2005/12,,1,32202,  고무 및 플라스틱제품 제조업,5
63,(주)뉴인텍,12340,2005/12,,1,33003,  자동차 및 트레일러 제조업,5
64,(주)뉴파워프라즈마,144960,2005/12,,1,32902,  기타 기계 및 장비 제조업,5
65,(주)뉴프렉스,85670,2005/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
66,(주)다날,64260,2005/12,,1,105802,  출판업,5
67,(주)다우기술,23590,2005/12,,1,106301,  정보서비스업,1
68,(주)다우데이타,32190,2005/12,,1,74605,  도매 및 상품 중개업,5
69,(주)다원시스,68240,2005/12,,1,32801,  전기장비 제조업,5
70,(주)다이나믹디자인,145210,2005/12,,1,32902,  기타 기계 및 장비 제조업,1
71,(주)대교,19680,2005/12,,1,168501,  교육 서비스업,1
72,(주)대구백화점,6370,2005/03,,1,74701,  소매업; 자동차 제외,1
73,(주)대덕,8060,2005/12,,1,137105,  전문 서비스업,1
74,(주)대동,490,2005/12,,1,32902,  기타 기계 및 장비 제조업,1
75,(주)대동스틸,48470,2005/12,,1,32401,  1차 금속 제조업,5
76,(주)대륙제관,4780,2005/12,,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,5
77,(주)대림제지,17650,2005/12,,1,31709,"  펄프, 종이 및 종이제품 제조업",5
78,(주)대명소노시즌,7720,2005/12,,1,74608,  도매 및 상품 중개업,5
79,(주)대성미생물연구소,36480,2005/12,,1,32102,  의료용 물질 및 의약품 제조업,5
80,(주)대성파인텍,104040,2005/12,,1,33003,  자동차 및 트레일러 제조업,5
81,(주)대성하이텍,129920,2005/12,,1,32902,  기타 기계 및 장비 제조업,5
82,(주)대양금속,9190,2005/12,,1,32401,  1차 금속 제조업,1
83,(주)대우건설,47040,2005/12,,1,64101,  종합 건설업,1
84,(주)대웅,3090,2005/03,,1,32102,  의료용 물질 및 의약품 제조업,1
85,(주)대웅제약,69620,2005/03,,1,32102,  의료용 물질 및 의약품 제조업,1
86,(주)대원,7680,2005/12,,1,64101,  종합 건설업,5
87,(주)대유,290380,2005/06,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,6
88,(주)대유에이텍,2880,2005/12,,1,33003,  자동차 및 트레일러 제조업,1
89,(주)대유플러스,300,2005/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",3
90,(주)대창,12800,2005/12,,1,32402,  1차 금속 제조업,1
