,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)CMG제약,58820,2007/12,,1,32102,  의료용 물질 및 의약품 제조업,5
1,(주)DB하이텍,990,2007/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
2,(주)ES큐브,50120,2007/12,,1,74604,  도매 및 상품 중개업,5
3,(주)HJ중공업,97230,2007/12,,1,64102,  종합 건설업,1
4,(주)MH에탄올,23150,2007/12,,1,31101,  음료 제조업,1
5,(주)SH에너지화학,2360,2007/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
6,(주)SIMPAC,9160,2007/12,,1,32401,  1차 금속 제조업,1
7,(주)SNT홀딩스,36530,2007/12,,1,137105,  전문 서비스업,1
8,(주)STX,11810,2007/12,,1,74608,  도매 및 상품 중개업,1
9,(주)TCC스틸,2710,2007/12,,1,32401,  1차 금속 제조업,1
10,(주)가비아,79940,2007/12,,1,105802,  출판업,5
11,(주)강원랜드,35250,2007/12,,1,189102,  스포츠 및 오락관련 서비스업,1
12,(주)강원에너지,114190,2007/11,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
13,(주)갤럭시아에스엠,11420,2007/12,,1,189101,  스포츠 및 오락관련 서비스업,1
14,(주)경농,2100,2007/12,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,1
15,(주)경동나비엔,9450,2007/12,,1,32805,  전기장비 제조업,1
16,(주)경동인베스트,12320,2007/12,,1,137105,  전문 서비스업,1
17,(주)경방,50,2007/12,,1,74701,  소매업; 자동차 제외,1
18,(주)경보제약,214390,2007/12,,1,32101,  의료용 물질 및 의약품 제조업,1
19,(주)경인양행,12610,2007/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
20,(주)고영테크놀러지,98460,2007/12,,1,32902,  기타 기계 및 장비 제조업,5
21,(주)골드앤에스,35290,2007/12,,1,105801,  출판업,5
22,(주)골프존뉴딘홀딩스,121440,2007/12,,1,74601,  도매 및 상품 중개업,5
23,(주)광림,14200,2007/12,,1,33001,  자동차 및 트레일러 제조업,6
24,(주)광명전기,17040,2007/12,,1,32801,  전기장비 제조업,1
25,(주)광무,29480,2007/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
26,(주)광주신세계,37710,2007/12,,1,74701,  소매업; 자동차 제외,1
27,(주)구영테크,53270,2007/12,,1,33003,  자동차 및 트레일러 제조업,5
28,(주)국동,5320,2007/12,,1,74604,  도매 및 상품 중개업,1
29,(주)국보,1140,2007/12,,1,84903,  육상운송 및 파이프라인 운송업,1
30,(주)국보디자인,66620,2007/12,,1,64204,  전문직별 공사업,5
31,(주)국순당,43650,2007/12,,1,31101,  음료 제조업,5
32,(주)국영지앤엠,6050,2007/12,,1,32301,  비금속 광물제품 제조업,5
33,(주)그래디언트,35080,2007/12,,1,74709,  소매업; 자동차 제외,5
34,(주)그리티,204020,2007/12,,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",5
35,(주)그린플러스,186230,2007/12,,1,32402,  1차 금속 제조업,5
36,(주)글로벌스탠다드테크놀로지,83450,2007/12,,1,32902,  기타 기계 및 장비 제조업,5
37,(주)금비,8870,2007/09,,1,32301,  비금속 광물제품 제조업,1
38,(주)금양,1570,2007/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
39,(주)금호에이치티,214330,2007/12,,1,33003,  자동차 및 트레일러 제조업,1
40,(주)금화피에스시,36190,2007/12,,1,64203,  전문직별 공사업,5
41,(주)기가레인,49080,2007/12,,1,32902,  기타 기계 및 장비 제조업,5
42,(주)기산텔레콤,35460,2007/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
43,(주)까뮤이앤씨,13700,2007/12,,1,64101,  종합 건설업,1
44,(주)나노신소재,121600,2007/12,,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,5
45,(주)나노엔텍,39860,2007/12,,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",5
46,(주)나래나노텍,137080,2007/12,,1,32902,  기타 기계 및 장비 제조업,5
47,(주)나스미디어,89600,2007/12,,1,137103,  전문 서비스업,5
48,(주)나이스디앤비,130580,2007/12,,1,147509,  사업지원 서비스업,5
49,(주)나이스홀딩스,34310,2007/12,,1,137105,  전문 서비스업,1
50,(주)남선알미늄,8350,2007/12,,1,32402,  1차 금속 제조업,1
51,(주)남성,4270,2007/12,,1,74607,  도매 및 상품 중개업,1
52,(주)네오리진,94860,2007/12,,1,105802,  출판업,5
53,(주)네오위즈,95660,2007/12,,1,105802,  출판업,5
54,(주)네오위즈홀딩스,42420,2007/12,,1,105802,  출판업,5
55,(주)네오티스,85910,2007/12,,1,33003,  자동차 및 트레일러 제조업,5
56,(주)네오팜,92730,2007/06,,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,5
57,(주)네이처셀,7390,2007/12,,1,32101,  의료용 물질 및 의약품 제조업,5
58,(주)네패스,33640,2007/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
59,(주)넥센,5720,2007/12,,1,32201,  고무 및 플라스틱제품 제조업,1
60,(주)넥스턴바이오사이언스,89140,2007/12,,1,32902,  기타 기계 및 장비 제조업,5
61,(주)넥스트아이,137940,2007/12,,1,32702,"  의료, 정밀, 광학기기 및 시계 제조업",5
62,(주)노랑풍선,104620,2007/12,,1,147502,  사업지원 서비스업,5
63,(주)노루페인트,90350,2007/12,,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1
64,(주)노루홀딩스,320,2007/12,,1,137105,  전문 서비스업,1
65,(주)노블엠앤비,106520,2007/12,,1,32703,"  의료, 정밀, 광학기기 및 시계 제조업",6
66,(주)녹십자,6280,2007/12,,1,32102,  의료용 물질 및 의약품 제조업,1
67,(주)녹십자엠에스,142280,2007/12,,1,32103,  의료용 물질 및 의약품 제조업,5
68,(주)녹십자홀딩스,5250,2007/12,,1,137105,  전문 서비스업,1
69,(주)녹원씨엔아이,65560,2007/12,,1,31801,  인쇄 및 기록매체 복제업,6
70,(주)농심,4370,2007/12,,1,31007,  식료품 제조업,1
71,(주)농심홀딩스,72710,2007/12,,1,137105,  전문 서비스업,1
72,(주)누리플랜,69140,2007/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
73,(주)누리플렉스,40160,2007/12,,1,105802,  출판업,5
74,(주)뉴보텍,60260,2007/12,,1,32202,  고무 및 플라스틱제품 제조업,5
75,(주)뉴인텍,12340,2007/12,,1,33003,  자동차 및 트레일러 제조업,5
76,(주)뉴파워프라즈마,144960,2007/12,,1,32902,  기타 기계 및 장비 제조업,5
77,(주)뉴프렉스,85670,2007/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
78,(주)다날,64260,2007/12,,1,105802,  출판업,5
79,(주)다산네트웍스,39560,2007/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
80,(주)다산솔루에타,154040,2007/12,,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
81,(주)다우기술,23590,2007/12,,1,106301,  정보서비스업,1
82,(주)다우데이타,32190,2007/12,,1,74605,  도매 및 상품 중개업,5
83,(주)다원시스,68240,2007/12,,1,32801,  전기장비 제조업,5
84,(주)다이나믹디자인,145210,2007/12,,1,32902,  기타 기계 및 장비 제조업,1
85,(주)대교,19680,2007/12,,1,168501,  교육 서비스업,1
86,(주)대구백화점,6370,2007/03,,1,74701,  소매업; 자동차 제외,1
87,(주)대덕,8060,2007/12,,1,137105,  전문 서비스업,1
88,(주)대동,490,2007/12,,1,32902,  기타 기계 및 장비 제조업,1
89,(주)대동스틸,48470,2007/12,,1,32401,  1차 금속 제조업,5
90,(주)대륙제관,4780,2007/12,,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,5
91,(주)대림제지,17650,2007/12,,1,31709,"  펄프, 종이 및 종이제품 제조업",5
92,(주)대명소노시즌,7720,2007/12,,1,74608,  도매 및 상품 중개업,5
93,(주)대성미생물연구소,36480,2007/12,,1,32102,  의료용 물질 및 의약품 제조업,5
94,(주)대성파인텍,104040,2007/12,,1,33003,  자동차 및 트레일러 제조업,5
95,(주)대성하이텍,129920,2007/12,,1,32902,  기타 기계 및 장비 제조업,5
