,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)CMG제약,58820,2021/12,,1,32102,  의료용 물질 및 의약품 제조업,5
1,(주)DB하이텍,990,2021/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
2,(주)ES큐브,50120,2021/12,,1,74604,  도매 및 상품 중개업,5
3,(주)HJ중공업,97230,2021/12,,1,64102,  종합 건설업,1
4,(주)MH에탄올,23150,2021/12,,1,31101,  음료 제조업,1
5,(주)SH에너지화학,2360,2021/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
6,(주)SIMPAC,9160,2021/12,,1,32401,  1차 금속 제조업,1
7,(주)SNT에너지,100840,2021/12,,1,32901,  기타 기계 및 장비 제조업,1
8,(주)SNT홀딩스,36530,2021/12,,1,137105,  전문 서비스업,1
9,(주)STX,11810,2021/12,,1,74608,  도매 및 상품 중개업,1
10,(주)TCC스틸,2710,2021/12,,1,32401,  1차 금속 제조업,1
11,(주)가비아,79940,2021/12,,1,105802,  출판업,5
12,(주)가온칩스,399720,2021/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
13,(주)강스템바이오텍,217730,2021/12,,1,32101,  의료용 물질 및 의약품 제조업,5
14,(주)강원랜드,35250,2021/12,,1,189102,  스포츠 및 오락관련 서비스업,1
15,(주)강원에너지,114190,2021/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
16,(주)갤럭시아에스엠,11420,2021/12,,1,189101,  스포츠 및 오락관련 서비스업,1
17,(주)경농,2100,2021/12,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,1
18,(주)경동나비엔,9450,2021/12,,1,32805,  전기장비 제조업,1
19,(주)경동도시가스,267290,2021/12,,1,43502,"  전기, 가스, 증기 및 공기조절 공급업",1
20,(주)경동인베스트,12320,2021/12,,1,137105,  전문 서비스업,1
21,(주)경방,50,2021/12,,1,74701,  소매업; 자동차 제외,1
22,(주)경보제약,214390,2021/12,,1,32101,  의료용 물질 및 의약품 제조업,1
